Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT850,LTE700,LTE850,LTE1800,LTE2100,NR700,NR1800,NR2100,NR3600,NR26000,Co_funded,Co_contribution_program,Round
2024,TPG,2000656,-33.87512853,151.2018022,,,,Y,Y,,,,,,,,
2024,TPG,2000657,-33.86548309,151.2018177,,,,Y,Y,,,,,,,,
2024,TPG,2000666,-33.86533,151.20656,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2000728,-33.86204,151.20787,,,,Y,,Y,,,,,,,
2024,TPG,2000729,-33.86876,151.21731,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2006001,-33.888533,151.190674,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2007001,-33.88056,151.20042,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2007003,-33.8772,151.19254,,,Y,Y,Y,,,,,,,,
2024,TPG,2007004,-33.8818,151.1982,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2007005,-33.87548,151.19746,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2007007,-33.882922,151.194155,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2007010,-33.8785,151.1988,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2007013,-33.885323,151.200238,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2007014,-33.883238,151.200494,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2008002,-33.884577,151.197162,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2008003,-33.88841,151.20057,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2008007,-33.88431,151.20305,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2008018,-33.892108,151.190904,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2009001,-33.866456,151.191508,,,Y,,,,,,,,,,
2024,TPG,2009001,-33.86648,151.19139,,,Y,Y,Y,,,,,,,,
2024,TPG,2009003,-33.87187,151.194814,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2009004,-33.87227,151.19781,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2009006,-33.87305,151.19254,,,Y,,,,,,,,,,
2024,TPG,2009007,-33.86879,151.19683,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2009008,-33.87059,151.19393,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2009011,-33.86961,151.19005,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2009012,-33.868043,151.194754,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2009012,-33.868043,151.194754,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2009013,-33.87138,151.19812,,,Y,Y,Y,,,,,,,,
2024,TPG,2009015,-33.865081,151.196073,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2009015,-33.865081,151.196073,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2009016,-33.86976,151.19636,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2009018,-33.866635,151.195724,,,Y,,,,,,,,,,
2024,TPG,2010001,-33.881722,151.217155,,,Y,Y,Y,,,,,,,,
2024,TPG,2010004,-33.8899,151.21119,,,Y,Y,Y,,,,,,,,
2024,TPG,2010005,-33.88462,151.21217,,,Y,Y,Y,,,,,,,,
2024,TPG,2010006,-33.88197528,151.2167043,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2010007,-33.886419,151.208783,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2010008,-33.89166,151.21276,,,Y,Y,,,,,,,,,
2024,TPG,2010009,-33.88728,151.20687,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2010011,-33.87771,151.21562,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2010012,-33.88806,151.21667,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2010013,-33.88399,151.21017,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2010023,-33.876429,151.221596,,,Y,Y,,,,,,,,,
2024,TPG,2010024,-33.877426,151.212352,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2010025,-33.87865,151.21344,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2010026,-33.88219,151.21068,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2010028,-33.880779,151.220839,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2010107,-33.885013,151.20737,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2011002,-33.87446,151.2182,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2011003,-33.870436,151.225013,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2011004,-33.87474,151.222,,,Y,Y,Y,,,,,,,,
2024,TPG,2011007,-33.87384689,151.2225213,,,Y,Y,Y,,,,,,,,
2024,TPG,2011008,-33.8709,151.22545,,,Y,Y,Y,,,,,,,,
2024,TPG,2015001,-33.8963,151.1959,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2015003,-33.90970584,151.1989012,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2015006,-33.9162,151.1956,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2015062,-33.91098,151.19503,,,,Y,,,,,,,,,
2024,TPG,2016002,-33.89218,151.19935,,,Y,Y,Y,,,,,,,,
2024,TPG,2016004,-33.89441,151.20476,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2016005,-33.89294,151.20236,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2016014,-33.892922,151.198109,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2017005,-33.902132,151.201842,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2017008,-33.90536,151.20583,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2017009,-33.906919,151.212205,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2017015,-33.905159,151.213081,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2017028,-33.897322,151.212155,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2017034,-33.903274,151.209838,,,,Y,Y,,,,,,,,
2024,TPG,2018002,-33.933662,151.211222,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2018003,-33.9199,151.20258,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2018004,-33.9163,151.2119,,,Y,Y,,,,,,,,,
2024,TPG,2018007,-33.91235,151.20959,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2018008,-33.92445,151.21467,,,Y,Y,Y,,,,,,,,
2024,TPG,2018013,-33.915061,151.203005,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2018014,-33.91464,151.20671,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2018017,-33.92677,151.21356,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2018024,-33.91096,151.20217,,,,Y,,,,,,,,,
2024,TPG,2019001,-33.93997,151.19553,,,Y,Y,Y,,,,,,,,
2024,TPG,2019002,-33.947927,151.190934,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2019004,-33.94599,151.21966,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2019025,-33.95162,151.20375,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2019033,-33.95901,151.212,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2020001,-33.92235,151.18074,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2020004,-33.92769679,151.1880327,,,Y,Y,Y,,,,,,,,
2024,TPG,2020005,-33.92445,151.18727,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2020006,-33.9464,151.169,,,Y,Y,Y,,,,,,,,
2024,TPG,2020007,-33.933117,151.178019,,,Y,Y,Y,,,,,,,,
2024,TPG,2020008,-33.92937224,151.1940674,,,Y,Y,Y,,,,,,,,
2024,TPG,2020009,-33.935783,151.17977,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2020010,-33.92436,151.1863,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2020012,-33.93755917,151.1656988,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2020020,-33.933322,151.178157,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2020023,-33.924623,151.186747,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2020029,-33.9231,151.1886,,,Y,Y,Y,Y,,,Y,Y,,,
2024,TPG,2020031,-33.9337,151.1636,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2020050,-33.926935,151.187194,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2021001,-33.89059,151.23192,,,Y,Y,Y,,,,,,,,
2024,TPG,2021002,-33.88643911,151.2290204,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2021005,-33.891511,151.223666,,,Y,Y,Y,Y,,,,,,,
2024,TPG,2021005,-33.89148,151.22374,,,Y,Y,Y,Y,,,Y,Y,,,
2024,TPG,2021006,-33.88176,151.22607,,,Y,Y,Y,,,,,,,,
2024,TPG,2021009,-33.88602,151.21893,,,,,Y,,,,,,,,
2024,TPG,2021014,-33.90308,151.21477,,,Y,Y,Y,,,,,,,,
2024,TPG,2021062,-33.88909,151.22409,,,,Y,,,,,Y,,,,
2024,TPG,2022002,-33.892021,151.247072,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2022003,-33.8951232,151.2445232,,,Y,Y,,,,,,,,,
2024,TPG,2022006,-33.89289,151.24919,,,Y,Y,Y,,,,,,,,
2024,TPG,2022007,-33.89187,151.25045,,,Y,Y,Y,,,Y,,,,,
2024,TPG,2022008,-33.88993,151.24116,,,Y,Y,,,,,,,,,
2024,TPG,2022010,-33.892421,151.249154,,,Y,Y,Y,,,,,,,,
2024,TPG,2022011,-33.895864,151.251293,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2022041,-33.89615,151.25426,,,Y,Y,Y,,,,,,,,
2024,TPG,2023001,-33.88618,151.25791,,,Y,Y,Y,,,,,,,,
2024,TPG,2023002,-33.88889,151.25907,,,Y,Y,Y,Y,,,Y,Y,,,
2024,TPG,2024001,-33.90615,151.2619,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2025001,-33.88506,151.23709,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2025003,-33.88815764,151.2447123,,,Y,Y,Y,,,,,,,,
2024,TPG,2026001,-33.890484,151.274299,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2026005,-33.89766789,151.266993,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2026008,-33.893821,151.262154,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2026014,-33.88118564,151.2704514,,,Y,Y,Y,,,,,,,,
2024,TPG,2026016,-33.88441182,151.2838958,,,Y,Y,Y,,,,,,,,
2024,TPG,2026024,-33.88926,151.27077,,,,Y,Y,,,,,,,,
2024,TPG,2026027,-33.89653,151.25988,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2027001,-33.87898,151.2356,,,Y,Y,Y,,,,,,,,
2024,TPG,2027006,-33.87964,151.23648,,,Y,Y,Y,,,,,,,,
2024,TPG,2027010,-33.8771,151.232,,,Y,Y,Y,,,,,,,,
2024,TPG,2028002,-33.87849,151.2428,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2029002,-33.87078219,151.2674245,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2029004,-33.87109,151.25423,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2030001,-33.867981,151.280022,,,Y,Y,Y,Y,,,Y,Y,,,
2024,TPG,2030002,-33.86169435,151.2753317,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2030003,-33.85712241,151.2829171,,,Y,Y,Y,Y,,,Y,,,,
